name,F_o,F_cv,t_o,C_o,a,C_x,iter,sei,ses,r2,slope,domain,n,ID,datetime,soilt,soilm,soilc,IDnum,treatment
ch4,-0.11758,3.43539,-2.09738,1974.94,7.49E-06,0,10,0.0350744,0.000483785,0.910411,-0.0147925,93,94,1A,2025-05-06 10:44:11,2432.755833,2416.671817,2416.435483,1A,S
co2,9.34695,1.07014,1.06496,420.402,1.18E-06,1.00E+06,10,0.169085,0.0023322,0.999638,1.17592,93,94,1A,2025-05-06 10:44:11,2432.755833,2416.671817,2416.435483,1A,S
ch4,-0.179978,2.33757,11.7327,1974.99,1.15E-05,0,10,0.0343673,0.000474032,0.961448,-0.0227061,93,94,1B,2025-05-06 11:01:37,9167.466667,9165.76925,9165.751,1B,S
co2,10.3816,1.07243,7.48024,415.191,1.31E-06,1.00E+06,10,0.199871,0.00275684,0.999593,1.30975,93,94,1B,2025-05-06 11:01:37,9167.466667,9165.76925,9165.751,1B,S
ch4,-0.23235,1.9802,12.2243,1974.85,1.53E-05,0,10,0.0367787,0.000507292,0.97476,-0.0302387,93,94,1C,2025-05-06 11:09:35,3762.368333,3749.8254,3749.633192,1C,S
co2,9.34017,1.13973,8.35399,419.821,1.22E-06,1.00E+06,10,0.386361,0.00532912,0.998235,1.21555,93,94,1C,2025-05-06 11:09:35,3762.368333,3749.8254,3749.633192,1C,S
ch4,-0.159628,2.65587,-13.1491,1975.88,1.03E-05,0,10,0.03589,0.000495034,0.948118,-0.0202979,93,94,2A,2025-05-06 11:17:04,1849.81,1833.158358,1833.150817,2A,C
co2,7.42796,1.08864,2.34571,417.11,9.45E-07,1.00E+06,10,0.19302,0.00266234,0.99927,0.944523,93,94,2A,2025-05-06 11:17:04,1849.81,1833.158358,1833.150817,2A,C
ch4,-0.26421,2.23793,5.8665,1976.21,1.73E-05,0,10,0.048875,0.000674138,0.965342,-0.0341264,93,94,2B,2025-05-06 11:22:50,20.98833333,0.3361166667,0.01730833333,2B,C
co2,11.1328,1.19407,9.15138,421.367,1.44E-06,1.00E+06,10,0.589496,0.00813098,0.997067,1.43796,93,94,2B,2025-05-06 11:22:50,20.98833333,0.3361166667,0.01730833333,2B,C
ch4,-0.0889207,4.69722,16.8275,1976.44,5.63E-06,0,1,0.0369321,0.000509408,0.838363,-0.0111277,93,94,2C,2025-05-06 11:26:58,1351.3375,1333.511658,1333.2156,2C,C
co2,14.3231,1.058,9.00009,430.064,0.000273842,6975.49,3,0.143583,0.00198046,0.999884,1.79241,93,94,2C,2025-05-06 11:26:58,1351.3375,1333.511658,1333.2156,2C,C
ch4,0.126303,2.95674,7.69051,1976.87,0.0029006,1982.42,2,0.0322725,0.000445138,0.907636,0.0161093,93,94,3A,2025-05-06 11:32:08,7171.758333,9999,7165.950283,3A,M
co2,9.98027,1.06511,0.342767,407.823,1.27E-06,1.00E+06,10,0.153452,0.00211658,0.999746,1.27293,93,94,3A,2025-05-06 11:32:08,7171.758333,9999,7165.950283,3A,M
ch4,-0.113747,3.18953,-12.5255,1977.36,7.50E-06,0,5,0.0323929,0.000446798,0.923016,-0.0148392,93,94,3B,2025-05-06 11:37:46,3762.046667,3749.872658,3749.63875,3B,M
co2,8.67996,1.10563,-12.3447,419.94,1.13E-06,1.00E+06,10,0.278414,0.00384019,0.998943,1.13237,93,94,3B,2025-05-06 11:37:46,3762.046667,3749.872658,3749.63875,3B,M
ch4,-0.141058,3.46793,-5.08833,1979.12,8.70E-06,0,10,0.0412596,0.000569098,0.908731,-0.017224,93,94,3C,2025-05-06 11:58:22,18.9,0.4,0.021,3C,M
co2,10.082,1.07811,-5.03721,425.914,0.000427396,3306.31,2,0.205247,0.00283099,0.99948,1.23107,93,94,3C,2025-05-06 11:58:22,18.9,0.4,0.021,3C,M
ch4,-0.175993,2.44608,-11.6658,1979.26,1.12E-05,0,10,0.035564,0.000490538,0.957084,-0.0222193,93,94,4A,2025-05-06 12:03:19,18.7,0.3557333333,0.016,4A,M
co2,7.69183,1.07841,-5.78387,422.559,0.0012847,1178.46,3,0.163063,0.00224915,0.999398,0.971101,93,94,4A,2025-05-06 12:03:19,18.7,0.3557333333,0.016,4A,M
ch4,-0.271404,1.70119,3.51997,1979.93,1.74E-05,0,10,0.0332767,0.000458989,0.983843,-0.0343542,93,94,4B,2025-05-06 12:09:34,18.94416667,0.4070583333,0.028,4B,M
co2,8.67278,1.07061,2.51579,422.063,0.000286232,4257.41,2,0.153481,0.00211697,0.999644,1.0978,93,94,4B,2025-05-06 12:09:34,18.94416667,0.4070583333,0.028,4B,M
ch4,-0.205343,2.15819,4.84217,1980.4,1.34E-05,0,10,0.0362583,0.000500115,0.968371,-0.0265428,93,94,4C,2025-05-06 12:17:39,19.43,0.3609,0.017,4C,M
