sampling_date,plot_no,Replicate,Sample_ID,tray_no,wet_mass_g,dry_mass_g,drymatt_percent,gdrymatt_per_m2,plot,date_wetmass,date_drymass
24-10-2025,3,1,veg_3,3,225,99,0.44,198,Compost,10/28/25,10/31/25
24-10-2025,4,1,veg_4,4,182,86,0.47,172,Compost,10/28/25,10/31/25
24-10-2025,8,1,veg_8,8,198,119,0.6,238,Compost,10/28/25,10/31/25
24-10-2025,9,1,veg_9,9,293,141,0.48,282,Compost,10/28/25,10/29/25
24-10-2025,14,1,veg_14,14,237,125,0.53,250,Compost,10/28/25,10/29/25
24-10-2025,2,1,veg_2,2,174,86,0.49,172,Control,10/28/25,10/31/25
24-10-2025,5,1,veg_5,5,170,97,0.57,194,Control,10/28/25,10/31/25
24-10-2025,7,1,veg_7,7,284,155,0.55,310,Control,10/28/25,10/31/25
24-10-2025,10,1,veg_10,10,233,131,0.56,262,Control,10/28/25,10/29/25
24-10-2025,15,1,veg_15,15,170,102,0.6,204,Control,10/28/25,10/29/25
24-10-2025,1,1,veg_1,1,187,78,0.42,156,Slurry,10/28/25,10/31/25
24-10-2025,6,1,veg_6,6,239,127,0.53,254,Slurry,10/28/25,10/31/25
24-10-2025,11,1,veg_11,11,282,120,0.43,240,Slurry,10/28/25,10/29/25
24-10-2025,12,1,veg_12,12,236,116,0.49,232,Slurry,10/28/25,10/29/25
24-10-2025,13,1,veg_13,13,271,139,0.51,278,Slurry,10/28/25,10/29/25
